player_id,player_name,player_role
CSK100,MS DHONI,WK Keeper - Batter
CSK101,DEVON CONWAY,Batter
CSK102,RUTURAJ GAIKWAD,Batter
CSK103,SUBHRANSHU SENAPATI,Batter
CSK104,AMBATI RAYUDU,Batter
CSK105,AJINKYA RAHANE,Batter
CSK106,SHAIK RASHEED,Batter
CSK107,RAVINDRA JADEJA,All-Rounder
CSK108,DWAINE PRETORIUS,All-Rounder
CSK109,MITCHELL SANTNER,All-Rounder
CSK110,K BHAGATH VARMA,All-Rounder
CSK111,MOEEN ALI,All-Rounder
CSK112,SHIVAM DUBE,All-Rounder
CSK113,BEN STOKES,All-Rounder
CSK114,NISHANT SINDHU,All-Rounder
CSK115,AJAY MANDAL,All-Rounder
CSK116,AKASH SINGH,Bowler
CSK117,RAJVARDHAN HANGARGEKAR,Bowler
CSK118,DEEPAK CHAHAR,Bowler
CSK119,MAHEESH THEEKSHANA,Bowler
CSK120,MUKESH CHOUDHARY,Bowler
CSK121,PRASHANT SOLANKI,Bowler
CSK122,SIMARJEET SINGH,Bowler
CSK123,TUSHAR DESHPANDE,Bowler
CSK124,MATHEESHA PATHIRANA,Bowler
CSK125,SISANDA MAGALA,Bowler
CSK126,KYLE JAMIESON,Bowler
